2017-04-19T22:51:15.796-0400 I CONTROL  [initandlisten] MongoDB starting : pid=24281 port=27017 dbpath=/data/db 64-bit host=Bens-MBP
2017-04-19T22:51:15.797-0400 I CONTROL  [initandlisten] db version v3.4.3
2017-04-19T22:51:15.797-0400 I CONTROL  [initandlisten] git version: f07437fb5a6cca07c10bafa78365456eb1d6d5e1
2017-04-19T22:51:15.797-0400 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2k  26 Jan 2017
2017-04-19T22:51:15.797-0400 I CONTROL  [initandlisten] allocator: system
2017-04-19T22:51:15.797-0400 I CONTROL  [initandlisten] modules: none
2017-04-19T22:51:15.797-0400 I CONTROL  [initandlisten] build environment:
2017-04-19T22:51:15.797-0400 I CONTROL  [initandlisten]     distarch: x86_64
2017-04-19T22:51:15.797-0400 I CONTROL  [initandlisten]     target_arch: x86_64
2017-04-19T22:51:15.797-0400 I CONTROL  [initandlisten] options: {}
2017-04-19T22:51:15.797-0400 I STORAGE  [initandlisten] exception in initAndListen: 29 Data directory /data/db not found., terminating
2017-04-19T22:51:15.797-0400 I NETWORK  [initandlisten] shutdown: going to close listening sockets...
2017-04-19T22:51:15.797-0400 I NETWORK  [initandlisten] shutdown: going to flush diaglog...
2017-04-19T22:51:15.797-0400 I CONTROL  [initandlisten] now exiting
2017-04-19T22:51:15.797-0400 I CONTROL  [initandlisten] shutting down with code:100
2017-04-19T22:52:09.942-0400 I CONTROL  [initandlisten] MongoDB starting : pid=24295 port=27017 dbpath=/data/db 64-bit host=Bens-MBP
2017-04-19T22:52:09.943-0400 I CONTROL  [initandlisten] db version v3.4.3
2017-04-19T22:52:09.943-0400 I CONTROL  [initandlisten] git version: f07437fb5a6cca07c10bafa78365456eb1d6d5e1
2017-04-19T22:52:09.943-0400 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2k  26 Jan 2017
2017-04-19T22:52:09.943-0400 I CONTROL  [initandlisten] allocator: system
2017-04-19T22:52:09.943-0400 I CONTROL  [initandlisten] modules: none
2017-04-19T22:52:09.943-0400 I CONTROL  [initandlisten] build environment:
2017-04-19T22:52:09.943-0400 I CONTROL  [initandlisten]     distarch: x86_64
2017-04-19T22:52:09.943-0400 I CONTROL  [initandlisten]     target_arch: x86_64
2017-04-19T22:52:09.943-0400 I CONTROL  [initandlisten] options: {}
2017-04-19T22:52:09.943-0400 I STORAGE  [initandlisten] exception in initAndListen: 20 Attempted to create a lock file on a read-only directory: /data/db, terminating
2017-04-19T22:52:09.943-0400 I NETWORK  [initandlisten] shutdown: going to close listening sockets...
2017-04-19T22:52:09.943-0400 I NETWORK  [initandlisten] shutdown: going to flush diaglog...
2017-04-19T22:52:09.943-0400 I CONTROL  [initandlisten] now exiting
2017-04-19T22:52:09.943-0400 I CONTROL  [initandlisten] shutting down with code:100
2017-04-19T22:52:32.555-0400 I CONTROL  [initandlisten] MongoDB starting : pid=24301 port=27017 dbpath=/data/db 64-bit host=Bens-MBP
2017-04-19T22:52:32.555-0400 I CONTROL  [initandlisten] db version v3.4.3
2017-04-19T22:52:32.555-0400 I CONTROL  [initandlisten] git version: f07437fb5a6cca07c10bafa78365456eb1d6d5e1
2017-04-19T22:52:32.555-0400 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2k  26 Jan 2017
2017-04-19T22:52:32.555-0400 I CONTROL  [initandlisten] allocator: system
2017-04-19T22:52:32.555-0400 I CONTROL  [initandlisten] modules: none
2017-04-19T22:52:32.555-0400 I CONTROL  [initandlisten] build environment:
2017-04-19T22:52:32.555-0400 I CONTROL  [initandlisten]     distarch: x86_64
2017-04-19T22:52:32.555-0400 I CONTROL  [initandlisten]     target_arch: x86_64
